,Unnamed: 0,first,second,cats,weight
0,868,Diseases,Diseases,,0.001
1,170,Diseases.adrenal cortex hormones,adrenal cortex hormones,[32728654],1.0
2,1181,"Diseases.amino acids, peptides, and proteins","amino acids, peptides, and proteins",,0.001
3,1182,"Diseases.amino acids, peptides, and proteins.proteins",proteins,,0.001
4,1183,"Diseases.amino acids, peptides, and proteins.proteins.globulins",globulins,,0.001
5,1184,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins",serum globulins,,0.001
6,1185,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins",immunoglobulins,,0.001
7,1186,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins.antibodies",antibodies,,0.001
8,736,"Diseases.amino acids, peptides, and proteins.proteins.globulins.serum globulins.immunoglobulins.antibodies.immunoglobulins, intravenous","immunoglobulins, intravenous",[33956250],1.0
9,1217,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins",nerve tissue proteins,,0.001
10,1218,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins.neuropeptides",neuropeptides,,0.001
11,806,"Diseases.amino acids, peptides, and proteins.proteins.nerve tissue proteins.neuropeptides.vasopressins",vasopressins,[34260489],1.0
12,903,Diseases.animal diseases,animal diseases,,0.001
13,1242,Diseases.animal diseases.swine diseases,swine diseases,,0.001
14,861,Diseases.animal diseases.swine diseases.vesicular exanthema of swine,vesicular exanthema of swine,[34377609],1.0
15,53,Diseases.animal diseases.zoonoses,zoonoses,"[32469504, 32584199, 32718292, 34960661, 35233558]",5.0
16,1087,Diseases.bacteria,bacteria,,0.001
17,1197,Diseases.bacteria.gram-positive bacteria,gram-positive bacteria,,0.001
18,1198,Diseases.bacteria.gram-positive bacteria.gram-positive rods,gram-positive rods,,0.001
19,1199,Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods,gram-positive asporogenous rods,,0.001
20,1200,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular","gram-positive asporogenous rods, regular",,0.001
21,1201,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae",mycobacteriaceae,,0.001
22,1202,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae.mycobacterium",mycobacterium,,0.001
23,769,"Diseases.bacteria.gram-positive bacteria.gram-positive rods.gram-positive asporogenous rods.gram-positive asporogenous rods, regular.mycobacteriaceae.mycobacterium.mycobacterium bovis",mycobacterium bovis,[33249696],1.0
24,1088,Diseases.bacteria.proteobacteria,proteobacteria,,0.001
25,1089,Diseases.bacteria.proteobacteria.betaproteobacteria,betaproteobacteria,,0.001
26,1090,Diseases.bacteria.proteobacteria.betaproteobacteria.burkholderiales,burkholderiales,,0.001
27,547,Diseases.bacteria.proteobacteria.betaproteobacteria.burkholderiales.burkholderiaceae,burkholderiaceae,[34792882],1.0
28,869,Diseases.behavior and behavior mechanisms,behavior and behavior mechanisms,,0.001
29,944,Diseases.behavior and behavior mechanisms.behavior,behavior,,0.001
30,174,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms,behavioral symptoms,[32728799],1.0
31,680,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.affective symptoms,affective symptoms,[34968807],1.0
32,684,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.delusions,delusions,[35351846],1.0
33,599,Diseases.behavior and behavior mechanisms.behavior.behavioral symptoms.mental fatigue,mental fatigue,"[33729425, 33774378, 34037351, 34508486, 34857243, 34949230]",6.0
34,682,Diseases.behavior and behavior mechanisms.behavior.impulsive behavior,impulsive behavior,[34982518],1.0
35,1041,Diseases.behavior and behavior mechanisms.behavior.impulsive behavior.compulsive behavior,compulsive behavior,,0.001
36,412,"Diseases.behavior and behavior mechanisms.behavior.impulsive behavior.compulsive behavior.behavior, addictive","behavior, addictive","[33485845, 33779773, 34805497]",3.0
37,1127,Diseases.behavior and behavior mechanisms.behavior.social behavior,social behavior,,0.001
38,619,Diseases.behavior and behavior mechanisms.behavior.social behavior.aggression,aggression,[35175707],1.0
39,870,Diseases.behavior and behavior mechanisms.emotions,emotions,,0.001
40,982,Diseases.behavior and behavior mechanisms.emotions.affect,affect,,0.001
41,258,Diseases.behavior and behavior mechanisms.emotions.affect.irritable mood,irritable mood,"[32898993, 33200104, 33762311, 33863529, 34425479, 34488566, 34982518, 35175707]",8.0
42,9,Diseases.behavior and behavior mechanisms.emotions.anxiety,anxiety,"[35164920, 35417314, 32294814, 32449782, 32495323, 32672029, 32707218, 32738287, 32753338, 32763640, 32796792, 32853602, 32880269, 32912329, 32973919, 33013930, 33053508, 33111132, 33120193, 33147504, 33262966, 33271682, 33275271, 33302142, 33393420, 33407804, 33425958, 33436263, 33437291, 33480608, 33487098, 33532720, 33548496, 33550782, 33558860, 33569660, 33575312, 33581399, 33585298, 33593267, 33603379, 33618441, 33635172, 33648821, 33708732, 33729425, 33743819, 33745373, 33827499, 33861695, 33863864, 33865161, 33868043, 33921429, 33949635, 33952318, 33959278, 33983005, 33998551, 34000678, 34010740, 34042167, 34051516, 34055711, 34060280, 34082792, 34091347, 34103378, 34111831, 34119855, 34133481, 34170653, 34218857, 34258900, 34286502, 34300183, 34316551, 34327929, 34341978, 34343929, 34345869, 34347785, 34349633, 34356243, 34362142, 34381391, 34400219, 34416191, 34422503, 34425843, 34444539, 34454673, 34455354, 34463904, 34469360, 34488921, 34509649, 34523701, 34533807, 34544975, 34561107, 34563747, 34580087, 34588274, 34591722, 34600862, 34601853, 34664483, 34704429, 34708687, 34709105, 34718282, 34719599, 34744416, 34751305, 34751538, 34793374, 34793996, 34815594, 34816972, 34819216, 34827455, 34845469, 34856780, 34874821, 34894521, 34913880, 34928916, 34928919, 34933829, 34936536, 34945213, 34948798, 34955903, 34963882, 34968807, 34973891, 34982518, 34992752, 34998005, 35000793, 35058382, 35060448, 35072716, 35098861, 35129097, 35130818, 35132020, 35144718, 35165874, 35175707, 35283463, 35314503, 35332104, 35342470, 35346011, 35351846, 35363975, 35394732, 35397762, 35403066, 35404239, 35407562, 35409924, 35417314, 35418390, 35428488, 35486940, 35522828, 35533314, 35534994, 35544272, 35545484, 35545971, 35575989, 35606551, 35624973]",177.0
43,328,Diseases.behavior and behavior mechanisms.emotions.apathy,apathy,"[33081456, 35175707]",2.0
44,10,Diseases.behavior and behavior mechanisms.emotions.depression,depression,"[32294814, 32316718, 32449782, 32495323, 32610334, 32707218, 32719447, 32738287, 32753338, 32763640, 32796792, 32811575, 32853602, 32912329, 32923992, 33053508, 33107012, 33111132, 33120193, 33135582, 33147504, 33163979, 33211433, 33235643, 33246479, 33262966, 33268001, 33302142, 33304286, 33376990, 33393420, 33407804, 33425958, 33436263, 33437291, 33470830, 33480608, 33487098, 33507664, 33532720, 33550782, 33575312, 33581399, 33585298, 33585801, 33603379, 33618441, 33627300, 33656822, 33729425, 33745373, 33769771, 33773440, 33863864, 33865161, 33868043, 33952318, 33983005, 33998551, 34000678, 34010740, 34033370, 34034587, 34037369, 34042167, 34051516, 34079511, 34082792, 34091347, 34093279, 34103378, 34104031, 34111831, 34119855, 34133481, 34170653, 34192271, 34218857, 34258900, 34286502, 34311983, 34316551, 34341978, 34343929, 34345869, 34349633, 34356243, 34358726, 34362142, 34373041, 34381391, 34400219, 34416191, 34422503, 34425843, 34444539, 34454673, 34455354, 34463904, 34469360, 34481432, 34481442, 34488921, 34509649, 34523701, 34523885, 34533807, 34553706, 34561107, 34563747, 34573196, 34575258, 34580087, 34588274, 34591722, 34600862, 34601853, 34619491, 34656999, 34694107, 34695052, 34708687, 34709105, 34718282, 34744416, 34747359, 34747982, 34751305, 34751538, 34793374, 34793996, 34815594, 34819216, 34827455, 34845469, 34856780, 34874821, 34894521, 34909433, 34913880, 34918990, 34928919, 34933829, 34936536, 34945213, 34948798, 34951387, 34963882, 34967182, 34968807, 34973891, 34982518, 34992752, 34999708, 35000793, 35058382, 35060448, 35072716, 35098861, 35129097, 35130818, 35132020, 35133225, 35144718, 35164920, 35165874, 35175707, 35283461, 35283463, 35314503, 35332104, 35346011, 35363975, 35397762, 35403066, 35403679, 35404239, 35409924, 35417314, 35428488, 35473921, 35475362, 35486940, 35491089, 35522828, 35533314, 35534994, 35543105, 35544272, 35545484, 35550718, 35561540, 35575989, 35606551, 35624973]",195.0
45,594,Diseases.behavior and behavior mechanisms.emotions.psychological distress,psychological distress,"[34043385, 34487856, 34553706, 34709105, 34793996, 35485061]",6.0
46,885,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations,neurobehavioral manifestations,,0.001
47,379,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.catatonia,catatonia,"[33268001, 33880247, 34358726, 34381391, 35220361]",5.0
48,625,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.confusion,confusion,[32990925],1.0
49,220,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.mania,mania,"[32823051, 33268001, 33863529, 35351846]",4.0
50,229,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.memory disorders,memory disorders,"[32838240, 32864278, 32912329, 33074266, 33861695, 33863524, 33957689, 34200325, 34248502, 34327929, 34995938, 35058382, 35175707, 35177424, 35403066, 35403679, 35405524]",17.0
51,886,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.perceptual disorders,perceptual disorders,,0.001
52,33,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.perceptual disorders.agnosia,agnosia,"[32437022, 32806993, 32844305, 32950734, 33074036, 33132007, 33404079, 33418020, 33774737, 33799139, 33894627, 33907681, 34027497, 34391165, 34488185, 34626912]",16.0
53,364,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.perceptual disorders.hallucinations,hallucinations,"[33246479, 33437548, 33656822, 33880247, 34559791, 35351846]",6.0
54,925,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.psychomotor disorders,psychomotor disorders,,0.001
55,118,Diseases.behavior and behavior mechanisms.neurobehavioral manifestations.psychomotor disorders.psychomotor agitation,psychomotor agitation,"[32643664, 33880247, 34321155, 34350072, 34747359, 34977909]",6.0
56,1158,Diseases.behavioral disciplines and activities,behavioral disciplines and activities,,0.001
57,1159,Diseases.behavioral disciplines and activities.behavioral sciences,behavioral sciences,,0.001
58,678,Diseases.behavioral disciplines and activities.behavioral sciences.psychopathology,psychopathology,[34998005],1.0
59,1084,Diseases.biological factors,biological factors,,0.001
60,1085,Diseases.biological factors.biomarkers,biomarkers,,0.001
61,1086,"Diseases.biological factors.biomarkers.biomarkers, tumor","biomarkers, tumor",,0.001
62,546,"Diseases.biological factors.biomarkers.biomarkers, tumor.prostate-specific antigen",prostate-specific antigen,[34757259],1.0
63,1102,"Diseases.biological factors.pigments, biological","pigments, biological",,0.001
64,1103,"Diseases.biological factors.pigments, biological.bile pigments",bile pigments,,0.001
65,563,"Diseases.biological factors.pigments, biological.bile pigments.bilirubin",bilirubin,[35596929],1.0
66,917,Diseases.body regions,body regions,,0.001
67,1230,Diseases.body regions.extremities,extremities,,0.001
68,830,Diseases.body regions.extremities.lower extremity,lower extremity,[34457267],1.0
69,918,Diseases.body regions.head,head,,0.001
70,102,Diseases.body regions.head.face,face,"[32586958, 32995555, 33984099, 35476738]",4.0
71,883,Diseases.cardiovascular diseases,cardiovascular diseases,"[32312365, 32535752, 32654210, 32662058, 32683753, 32720223, 32769230, 32791552, 32838148, 32838162, 32838188, 32855347, 32921216, 32941261, 32971105, 32987060, 33015722, 33077488, 33092737, 33162899, 33166178, 33166189, 33187633, 33194223, 33264669, 33282075, 33283157, 33299899, 33303102, 33346454, 33432301, 33437929, 33458987, 33488023, 33540179, 33553222, 33579813, 33589778, 33683246, 33687179, 33717830, 33733043, 33738009, 33775925, 33792257, 33809873, 33861837, 33880442, 33887749, 33941741, 33957250, 33975819, 33987042, 34025853, 34035963, 34044430, 34092967, 34103044, 34124207, 34151246, 34204032, 34223524, 34224783, 34246919, 34286447, 34309328, 34311983, 34330569, 34336319, 34346604, 34361021, 34362141, 34368030, 34372552, 34390330, 34416191, 34464565, 34479294, 34507521, 34508537, 34511231, 34512335, 34512975, 34604993, 34608441, 34651183, 34661633, 34704429, 34757259, 34757873, 34909433, 34916057, 34930633, 34951387, 34968019, 35030378, 35043641, 35066497, 35118699, 35140935, 35153372, 35414365, 35435842, 35518805, 35533456, 35552326, 35575011, 35577079, 35587087, 35601952, 35626760]",111.0
72,110,Diseases.cardiovascular diseases.heart diseases,heart diseases,"[32639461, 32643664, 32654210, 32685261, 32719447, 32733733, 32768467, 32837148, 32844958, 32854812, 32921216, 32946801, 32971105, 32975439, 32993540, 33006644, 33027185, 33065115, 33069383, 33078408, 33083367, 33083782, 33104154, 33120193, 33155955, 33194461, 33215583, 33223496, 33243303, 33248208, 33269260, 33278107, 33303102, 33344389, 33346988, 33394709, 33463366, 33550678, 33553699, 33584087, 33593483, 33645626, 33662103, 33687179, 33703938, 33716413, 33717830, 33726806, 33733043, 33747404, 33777550, 33778151, 33792257, 33821923, 33843774, 33937566, 33937572, 33953481, 33990122, 34025062, 34035963, 34044430, 34052046, 34052825, 34055936, 34082189, 34105843, 34109598, 34112195, 34117887, 34118400, 34121829, 34127622, 34131597, 34136999, 34192188, 34204032, 34204362, 34223524, 34246424, 34246919, 34261116, 34298070, 34311684, 34312178, 34345629, 34346604, 34348808, 34362141, 34385205, 34421386, 34434905, 34438608, 34453790, 34456496, 34457265, 34464565, 34511982, 34512975, 34688543, 34695852, 34699709, 34704429, 34704607, 34840488, 34859877, 34863701, 34913418, 34915942, 34966022, 34986922, 34986935, 34988039, 35048715, 35067268, 35068120, 35093995, 35100745, 35113159, 35130792, 35139607, 35153372, 35178272, 35183528, 35219086, 35319451, 35360923, 35370316, 35377577, 35389603, 35409644, 35475192, 35533456, 35537767, 35560820, 35587087, 35620558]",137.0
73,343,Diseases.cardiovascular diseases.heart diseases.cardiac conduction system disease,cardiac conduction system disease,"[33166178, 33184170]",2.0
74,35,Diseases.cardiovascular diseases.heart diseases.cardiomyopathies,cardiomyopathies,"[32439816, 32511692, 32535752, 32651579, 32654210, 32662058, 32683753, 32685261, 32719447, 32720223, 32728901, 32768467, 32826642, 32838148, 32838162, 32838188, 32858623, 32890666, 32921216, 32968643, 32987060, 33015722, 33077488, 33078408, 33092737, 33104154, 33106783, 33119418, 33148089, 33155955, 33187633, 33194121, 33201768, 33223496, 33254539, 33269260, 33299899, 33303102, 33334776, 33394709, 33437929, 33463366, 33504377, 33532720, 33546881, 33579813, 33585801, 33687179, 33717830, 33738009, 33745461, 33792257, 33843774, 33861837, 33862215, 33863570, 33874647, 33898126, 33937566, 33937572, 33975819, 33994409, 34007346, 34035963, 34038652, 34044430, 34055936, 34055939, 34112195, 34124207, 34124694, 34127622, 34131597, 34136351, 34165431, 34172316, 34223524, 34271810, 34295602, 34309328, 34311684, 34311983, 34326176, 34336288, 34339544, 34386543, 34400140, 34413034, 34414434, 34429796, 34446351, 34493031, 34511982, 34512335, 34549296, 34608441, 34616578, 34695852, 34827194, 34886921, 34944281, 34945196, 34950713, 35019953, 35043684, 35073627, 35153372, 35178272, 35220368, 35221083, 35221085, 35221322, 35291195, 35322771, 35389494, 35414365, 35469487, 35518805, 35560820, 35575011, 35577079, 35620558, 35627438]",123.0
75,443,Diseases.cardiovascular diseases.heart diseases.cardiomyopathies.endomyocardial fibrosis,endomyocardial fibrosis,"[33593483, 33619450, 34136999, 35240139]",4.0
76,127,Diseases.cardiovascular diseases.heart diseases.cardiomyopathies.myocarditis,myocarditis,"[32654210, 32662058, 32705368, 32719447, 32728901, 32760733, 32788432, 32826642, 32838188, 32863659, 32941261, 32953841, 32959075, 32971105, 33042116, 33069383, 33077488, 33104154, 33119418, 33153536, 33181783, 33181855, 33187633, 33194121, 33194223, 33201768, 33223496, 33231054, 33248208, 33269260, 33299899, 33303102, 33344389, 33346454, 33394709, 33425823, 33432301, 33432304, 33437929, 33443538, 33463366, 33540143, 33546881, 33574714, 33579813, 33584087, 33585801, 33661715, 33662103, 33682655, 33687357, 33703938, 33708752, 33711293, 33717830, 33726806, 33733043, 33738009, 33745461, 33765855, 33777550, 33821923, 33846690, 33847291, 33861837, 33862215, 33978479, 33980782, 34007346, 34038652, 34044430, 34055939, 34078749, 34104859, 34109598, 34124207, 34136351, 34136999, 34165431, 34172316, 34220204, 34230908, 34246919, 34261116, 34284918, 34311684, 34311983, 34330569, 34336288, 34336948, 34339544, 34340244, 34361021, 34362141, 34368030, 34400140, 34414385, 34433686, 34441453, 34446351, 34479603, 34511982, 34512335, 34512975, 34522906, 34533807, 34564071, 34599493, 34611015, 34616578, 34637677, 34790619, 34803350, 34805418, 34820152, 34840488, 34866030, 34880080, 34922867, 34933829, 34950713, 34954013, 34956207, 34991100, 35043641, 35073627, 35080303, 35093995, 35153372, 35178272, 35220368, 35221085, 35221322, 35240139, 35290661, 35389603, 35393365, 35400169, 35409960, 35410884, 35414365, 35475362, 35518805, 35552326, 35575011, 35577079, 35601952, 35606551, 35609533, 35622085, 35627438, 32728901, 32787714, 32941261, 32959075, 33278120, 33463366, 33518219, 33703938, 33898126, 34035963, 34311684, 34509326, 34840488, 35410884, 35475362, 35560820]",167.0
77,287,Diseases.cardiovascular diseases.heart diseases.endocarditis,endocarditis,"[32971105, 33579813, 34078749, 34094767, 34311684, 34422160, 34840313]",7.0
78,523,"Diseases.cardiovascular diseases.heart diseases.endocarditis.endocarditis, bacterial","endocarditis, bacterial",[34311684],1.0
79,777,Diseases.cardiovascular diseases.heart diseases.heart arrest,heart arrest,[34113773],1.0
80,126,Diseases.cardiovascular diseases.heart diseases.heart failure,heart failure,"[32654210, 32720223, 32755212, 32791552, 32813029, 32838188, 32921216, 32928824, 32941261, 32959075, 32971105, 33077488, 33119418, 33155955, 33274129, 33317694, 33331715, 33394709, 33432304, 33553699, 33593483, 33661715, 33716189, 33738009, 33792257, 33857916, 33862215, 33898126, 33904379, 33980782, 33995053, 34035963, 34055939, 34059010, 34109598, 34172316, 34179694, 34230908, 34246424, 34295602, 34311684, 34361021, 34418362, 34493031, 34511231, 34511982, 34512335, 34512975, 34533807, 34544975, 34790619, 34840488, 34840781, 34880080, 34930633, 34945196, 35019953, 35080303, 35183528, 35356906, 35370316, 35410717, 35414365, 35601952, 35626760]",65.0
81,683,Diseases.cardiovascular diseases.heart diseases.heart failure.cardio-renal syndrome,cardio-renal syndrome,"[33754534, 35606551]",2.0
82,507,"Diseases.cardiovascular diseases.heart diseases.heart failure.heart failure, systolic","heart failure, systolic","[34104908, 34311684, 34348808, 34493031, 34915942, 34944281]",6.0
83,697,Diseases.cardiovascular diseases.heart diseases.heart valve diseases,heart valve diseases,[33861837],1.0
84,1091,Diseases.cardiovascular diseases.heart diseases.heart valve diseases.aortic valve disease,aortic valve disease,,0.001
85,548,"Diseases.cardiovascular diseases.heart diseases.heart valve diseases.aortic valve disease.cardiomyopathy, hypertrophic","cardiomyopathy, hypertrophic","[34840488, 34986922, 35622085]",3.0
86,83,Diseases.cardiovascular diseases.heart diseases.heart valve diseases.mitral valve insufficiency,mitral valve insufficiency,"[32529358, 34104908, 34348808, 34422717, 34915942, 35067268, 35093995, 35240139]",8.0
87,215,Diseases.cardiovascular diseases.heart diseases.heart valve diseases.pulmonary valve insufficiency,pulmonary valve insufficiency,[32813029],1.0
88,781,Diseases.cardiovascular diseases.heart diseases.heart valve diseases.tricuspid valve insufficiency,tricuspid valve insufficiency,"[34266903, 34348808, 34915942]",3.0
89,130,Diseases.cardiovascular diseases.heart diseases.pericardial effusion,pericardial effusion,"[32656050, 32854812, 32941261, 33166189, 33223496, 33584087, 33585801, 33706390, 33777550, 33821923, 34079649, 34082008, 34104908, 34221878, 34239770, 34336288, 34348808, 34433686, 34456496, 34560597, 34915942, 34986922, 35093995, 35261392, 35321771, 35601952]",26.0
90,131,Diseases.cardiovascular diseases.heart diseases.pericarditis,pericarditis,"[32656050, 32971105, 33223496, 33274129, 33303102, 33579813, 33584087, 33593483, 33662103, 33777550, 33861837, 33890746, 34038652, 34044430, 34055939, 34078749, 34079649, 34082008, 34221878, 34438608, 34456496, 34509326, 34866030, 34986922, 35025181, 35169048, 35221322, 35389603, 35414365, 35552326, 35575011, 35626760]",32.0
91,565,"Diseases.cardiovascular diseases.heart diseases.pericarditis.pericarditis, constrictive","pericarditis, constrictive",[34049584],1.0
92,129,Diseases.cardiovascular diseases.heart diseases.ventricular dysfunction,ventricular dysfunction,"[32654210, 32813029, 32837148, 32855347, 32935083, 32941261, 33077488, 33148089, 33166178, 33303102, 33394709, 33523115, 33778151, 33826019, 33861837, 33890746, 33957250, 33980782, 34007346, 34035676, 34035963, 34082008, 34136999, 34326176, 34433686, 34493031, 34523885, 34790619, 35048715, 35067268, 35130792, 35221322, 35291195, 35626760]",34.0
93,169,"Diseases.cardiovascular diseases.heart diseases.ventricular dysfunction.ventricular dysfunction, left","ventricular dysfunction, left","[32725955, 32768467, 32890666, 32925547, 33584087, 34219155, 34311983, 34438608, 34687695, 35322771, 35373052, 35389603, 35442436]",13.0
94,434,"Diseases.cardiovascular diseases.heart diseases.ventricular dysfunction.ventricular dysfunction, left.takotsubo cardiomyopathy",takotsubo cardiomyopathy,"[33540143, 33661715, 34295602, 34311983, 34913418]",5.0
95,134,Diseases.cardiovascular diseases.vascular diseases,vascular diseases,"[32665054, 32729633, 32839689, 32905019, 32912226, 32918567, 32949574, 33068723, 33254519, 33277353, 33281325, 33733987, 33781767, 33841169, 33852526, 33863570, 34066007, 34087216, 34117887, 34166081, 34205928, 34207876, 34228600, 34361021, 34384972, 34388683, 34429796, 34511231, 34512038, 34542255, 34601698, 34629385, 34768033, 34792882, 34824040, 34950713, 35219440, 35227354, 35443510]",39.0
96,424,Diseases.cardiovascular diseases.vascular diseases.aneurysm,aneurysm,"[33504377, 33532103, 33753947, 33821923, 34052147, 35073627]",6.0
97,1025,Diseases.cardiovascular diseases.vascular diseases.arterial occlusive diseases,arterial occlusive diseases,,0.001
98,1033,Diseases.cardiovascular diseases.vascular diseases.arterial occlusive diseases.arteriosclerosis,arteriosclerosis,,0.001
99,388,Diseases.cardiovascular diseases.vascular diseases.arterial occlusive diseases.arteriosclerosis.atherosclerosis,atherosclerosis,"[33282075, 34249284]",2.0
100,366,Diseases.cardiovascular diseases.vascular diseases.arterial occlusive diseases.retinal artery occlusion,retinal artery occlusion,"[33247640, 33424598, 33661715, 33733987, 33856275, 33999887, 34252339, 34264156, 34410058, 35472801, 35502085]",11.0
101,67,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders,cerebrovascular disorders,"[32490966, 32532937, 32691236, 32698732, 32725449, 32730915, 32791504, 32796792, 32909895, 32935873, 32977228, 33009081, 33015552, 33035589, 33099361, 33147504, 33229976, 33250631, 33268588, 33271682, 33277353, 33304309, 33338439, 33459550, 33520667, 33521692, 33580645, 33584720, 33593267, 33619413, 33687889, 33707903, 33709973, 33769966, 33863570, 33889082, 33920904, 33969672, 33973188, 33984103, 33992187, 33996162, 34078441, 34131509, 34223524, 34248921, 34281186, 34306190, 34352870, 34416121, 34512038, 34538745, 34553575, 34571039, 34577633, 34580754, 34623104, 34642927, 34890962, 34930633, 34932291, 34933829, 34949230, 34968019, 35283461, 35287009, 35348443, 35382723, 35405524]",69.0
102,363,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.brain ischemia,brain ischemia,"[33246479, 33340292]",2.0
103,389,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.carotid artery diseases,carotid artery diseases,[33282075],1.0
104,25,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.stroke,stroke,"[32329044, 32532937, 32610334, 32683890, 32698732, 32740765, 32754113, 32791504, 32798347, 32820884, 32847484, 32847818, 32852580, 32864278, 32869183, 32871412, 32900267, 32905019, 32983347, 32990925, 33010584, 33020166, 33070890, 33074036, 33081456, 33081458, 33083695, 33090438, 33173859, 33210085, 33218946, 33226565, 33246479, 33250631, 33281325, 33304284, 33393420, 33428055, 33459550, 33520667, 33541042, 33550782, 33553699, 33580645, 33583157, 33593267, 33602080, 33619413, 33636661, 33666649, 33715108, 33751228, 33752743, 33777298, 33874789, 33897376, 33898792, 33935220, 33973188, 33993018, 33998551, 34035963, 34052046, 34062770, 34082792, 34103203, 34136764, 34279891, 34280318, 34330569, 34366659, 34407847, 34425827, 34429796, 34449704, 34479340, 34481438, 34508837, 34509790, 34512038, 34512335, 34553575, 34601116, 34623104, 34766055, 34792882, 34812758, 34820152, 34871216, 34890962, 34986754, 35130818, 35137375, 35157636, 35219440, 35221210, 35221605, 35239818, 35284299, 35414356, 35470679]",101.0
105,116,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.stroke.hemorrhagic stroke,hemorrhagic stroke,"[32643664, 33372575, 33824793, 33993018, 34291313, 34352870, 34840313]",7.0
106,90,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.stroke.ischemic stroke,ischemic stroke,"[32550783, 32864278, 32912226, 32973590, 32977228, 33038618, 33173859, 33218946, 33264532, 33269344, 33283160, 33340292, 33414753, 33438076, 33553699, 33584506, 33661715, 33769966, 33993018, 33999887, 34078441, 34104245, 34220192, 34293539, 34407847, 34456840, 34488566, 34553575, 34618764, 34747359, 34768033, 34890962, 35137375]",33.0
107,317,Diseases.cardiovascular diseases.vascular diseases.cerebrovascular disorders.stroke.ischemic stroke.embolic stroke,embolic stroke,"[33038618, 33553699, 34127574, 34172316]",4.0
108,815,"Diseases.cardiovascular diseases.vascular diseases.colitis, ischemic","colitis, ischemic",[34445965],1.0
109,905,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis,embolism and thrombosis,,0.001
110,429,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.embolism,embolism,"[33521655, 34429796, 34946256]",3.0
111,1128,"Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.embolism.embolism, fat","embolism, fat",,0.001
112,621,"Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.embolism.embolism, fat.embolism, cholesterol","embolism, cholesterol",[33070890],1.0
113,137,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.embolism.pulmonary embolism,pulmonary embolism,"[32665940, 32735050, 32755212, 32868974, 32918567, 32928824, 32965656, 33070890, 33075608, 33077488, 33095516, 33282075, 33448739, 33532720, 33761886, 33836148, 33842842, 33854858, 33880241, 33893631, 33980250, 34052046, 34113773, 34172316, 34195973, 34220192, 34306794, 34330569, 34332823, 34334914, 34407847, 34521335, 34982460, 35044135, 35139794, 35227354, 35445129, 35536134]",38.0
114,97,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.thromboembolism,thromboembolism,"[32579014, 32735050, 32826642, 32905019, 32912226, 33070890, 33092737, 33095516, 33120193, 33269260, 33304284, 33305475, 33346454, 33424598, 33449336, 33480310, 33520667, 33606410, 33661715, 33687179, 33761886, 33768072, 33860515, 33880241, 34055700, 34066007, 34100519, 34103203, 34220192, 34252339, 34279891, 34293539, 34325956, 34334914, 34361021, 34368201, 34377558, 34407847, 34512038, 34521335, 34637677, 34657406, 34730039, 34756590, 34761747, 35030378, 35144991, 35223894, 35225150, 35227354, 35326069]",51.0
115,997,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.thromboembolism.intracranial embolism and thrombosis,intracranial embolism and thrombosis,,0.001
116,698,Diseases.cardiovascular diseases.vascular diseases.embolism and thrombosis.thromboembolism.intracranial embolism and thrombosis.carotid artery thrombosis,carotid artery thrombosis,[32838188],1.0
