,Unnamed: 0,first,second,cats,weight
984,77,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, digestive.vomiting",vomiting,"[32511692, 32528783, 32665054, 32728901, 32755212, 32826642, 32844958, 32854812, 32923992, 32925800, 32993540, 32994918, 33041712, 33083367, 33148089, 33243303, 33251482, 33254519, 33322869, 33333471, 33346454, 33593267, 33777298, 33829849, 33967552, 34103044, 34131481, 34158815, 34160366, 34239495, 34246424, 34246919, 34249665, 34256532, 34368030, 34385205, 34413034, 34438603, 34444014, 34464565, 34523756, 34533807, 34607068, 34805497, 34898486, 35099459, 35199658, 35300573, 35356073, 35370316, 35609533]",51.0
985,871,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory","signs and symptoms, respiratory",,0.001
986,61,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.cough",cough,"[32489027, 32518103, 32563234, 32579306, 32719806, 32725955, 32728901, 32755212, 32787373, 32798347, 32845750, 32891582, 32925800, 32935156, 32950734, 32954046, 32984564, 32993540, 32998763, 33010584, 33027185, 33039230, 33041095, 33041712, 33041989, 33070890, 33107316, 33120193, 33148809, 33194085, 33194223, 33222680, 33230486, 33264532, 33304309, 33307905, 33322869, 33331715, 33343486, 33420769, 33425183, 33432396, 33527042, 33535007, 33550782, 33570034, 33576834, 33580645, 33584720, 33607252, 33631903, 33683246, 33691394, 33708633, 33710610, 33726699, 33733043, 33734079, 33754534, 33766419, 33790636, 33803475, 33833797, 33835112, 33842198, 33852979, 33857435, 33860871, 33863570, 33875970, 33875971, 33880247, 33889082, 33892403, 33894627, 33907665, 33941600, 33996435, 34022336, 34033370, 34079649, 34113773, 34127574, 34136764, 34167876, 34204362, 34210624, 34234065, 34239495, 34239770, 34246919, 34271809, 34314860, 34336065, 34352201, 34353302, 34362142, 34362155, 34368517, 34373041, 34386543, 34406260, 34422503, 34440104, 34444014, 34456528, 34508406, 34522605, 34523756, 34533807, 34535527, 34546607, 34561107, 34589500, 34611512, 34625436, 34626924, 34656999, 34670282, 34718282, 34719599, 34730322, 34747359, 34755940, 34756744, 34786039, 34813820, 34827246, 34850782, 34898486, 34909887, 34913540, 34916057, 34918990, 34945213, 35067268, 35077615, 35088680, 35100246, 35110194, 35130818, 35131989, 35133225, 35219355, 35240959, 35333613, 35407562, 35411017, 35411216, 35429791, 35431658, 35445129, 35490417, 35502514, 35514142, 35596571, 35601952]",157.0
987,11,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.dyspnea",dyspnea,"[32518103, 32667150, 32697344, 32755212, 32925800, 32979574, 33041712, 33144403, 33148809, 33264532, 33425183, 33432396, 33527042, 33550782, 33691394, 33711279, 33711293, 33726699, 33733043, 33734079, 33754534, 33798931, 33803475, 33821250, 33827856, 33839710, 33863570, 33877759, 33987042, 34027514, 34033370, 34049584, 34082792, 34103194, 34125067, 34140635, 34210624, 34314860, 34327929, 34347785, 34353302, 34362372, 34386785, 34407847, 34410220, 34431265, 34444014, 34455906, 34456528, 34473556, 34485048, 34485076, 34511802, 34533807, 34535527, 34559592, 34616578, 34626924, 34656999, 34695052, 34719599, 34747359, 34756590, 34756744, 34813820, 34850782, 34909433, 34913540, 34918990, 34951953, 34973891, 35077615, 35119459, 35130818, 35140935, 35175707, 35221605, 35271384, 35277001, 35342470, 35381597, 35389890, 35404239, 35409815, 35414491, 35418075, 35429791, 35443510, 35445129, 35475008, 35485738, 35534994, 35589549, 35596571, 35621146, 32294814, 32579306, 32667150, 32719806, 32735050, 32787373, 32798347, 32868974, 32894907, 32965656, 32984564, 32993540, 33010584, 33041095, 33070890, 33107316, 33120193, 33230486, 33312856, 33343486, 33393278, 33420769, 33425682, 33532720, 33552895, 33558055, 33606410, 33631903, 33708732, 33711279, 33729425, 33766419, 33774737, 33809277, 33833797, 33839588, 33842198, 33852979, 33857606, 33861398, 33863570, 33875970, 33875971, 33941600, 33959278, 33962805, 33995053, 33996435, 33998551, 34022336, 34033370, 34055711, 34060280, 34093389, 34111831, 34136764, 34167876, 34176973, 34180638, 34200325, 34208271, 34242539, 34243904, 34246957, 34247995, 34271809, 34286502, 34293703, 34312178, 34344032, 34352201, 34362142, 34362155, 34362372, 34368201, 34373041, 34386543, 34406260, 34408751, 34425627, 34429351, 34440104, 34441453, 34442171, 34455906, 34458661, 34476393, 34485849, 34486708, 34488921, 34493031, 34508486, 34508837, 34509649, 34532368, 34533807, 34535527, 34544975, 34559592, 34561107, 34580087, 34614307, 34625436, 34656999, 34664483, 34688543, 34718282, 34730039, 34732978, 34751538, 34751672, 34755940, 34827194, 34840781, 34850782, 34852145, 34857243, 34861604, 34866030, 34909887, 34933829, 34935324, 34945095, 34963882, 34973891, 34982460, 34986935, 35048715, 35088680, 35105985, 35110194, 35172611, 35177424, 35216882, 35239879, 35271227, 35271384, 35333613, 35346011, 35350258, 35373869, 35381597, 35382075, 35389890, 35397762, 35404239, 35411216, 35412483, 35434687, 35440497, 35443510, 35491089, 35514142, 35521973, 35533314, 35534994, 35550718, 35582695, 35629421]",254.0
988,624,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.hyperoxia",hyperoxia,[34792882],1.0
989,689,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.hyperventilation",hyperventilation,"[34208271, 34277081]",2.0
990,104,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.hypoxia",hypoxia,"[32586959, 32720223, 32844958, 32868974, 32888706, 32946270, 32973590, 32987060, 32990925, 33039230, 33090438, 33111132, 33194223, 33229976, 33236647, 33250751, 33268588, 33281325, 33312856, 33417221, 33487098, 33521655, 33550782, 33584506, 33630760, 33722432, 33724953, 33738009, 33769966, 33800954, 33863570, 33897376, 33898126, 33908716, 33949163, 33957689, 34019347, 34025062, 34033370, 34035963, 34059010, 34092646, 34109275, 34127622, 34207876, 34230886, 34246957, 34266783, 34278995, 34293703, 34381391, 34421788, 34484241, 34488921, 34535527, 34549667, 34571039, 34601121, 34608117, 34642927, 34719599, 34730322, 34751313, 34792882, 34810106, 34840781, 34916057, 34966022, 34986754, 34987144, 35130240, 35144718, 35168704, 35283461, 35283463, 35306969, 35443510, 35537767, 35545780, 35575011, 35577079, 35603455, 35629421]",83.0
991,321,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.hypoxia.hypoxia, brain","hypoxia, brain","[33060058, 33769966, 33978479, 35130792, 35607267, 35629421]",6.0
992,315,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.hypoxia.hypoxia, brain.hypoxia-ischemia, brain","hypoxia-ischemia, brain",[33020166],1.0
993,168,"Diseases.pathological conditions, signs and symptoms.signs and symptoms.signs and symptoms, respiratory.rhinorrhea",rhinorrhea,"[32725955, 33420769, 33775348]",3.0
